loan_amnt,term,int_rate,home_ownership,annual_inc,verification_status,repay_fail
0.0,36 months,0.0,RENT,0.0,Not Verified,1
2500.0,36 months,13.98,RENT,20004.0,Not Verified,0
5000.0,36 months,15.95,RENT,59000.0,Not Verified,1
7000.0,36 months,9.91,MORTGAGE,53796.0,Not Verified,0
2000.0,36 months,5.42,RENT,30000.0,Not Verified,0
3600.0,36 months,10.25,MORTGAGE,675048.0,Not Verified,0
6000.0,36 months,7.49,RENT,35000.0,Not Verified,0
25600.0,60 months,14.27,RENT,86000.0,Verified,0
19750.0,60 months,23.22,MORTGAGE,72500.0,Verified,0
6250.0,36 months,17.27,MORTGAGE,28000.0,Verified,1
8000.0,36 months,13.79,RENT,75000.0,Source Verified,0
15000.0,36 months,15.23,MORTGAGE,38400.0,Source Verified,0
16000.0,36 months,6.54,MORTGAGE,100000.0,Verified,0
7000.0,36 months,16.63,RENT,30996.0,Verified,0
15000.0,60 months,9.99,MORTGAGE,23500.0,Source Verified,0
9000.0,36 months,21.21,MORTGAGE,90000.0,Not Verified,0
13000.0,36 months,11.83,MORTGAGE,107004.0,Not Verified,0
4500.0,36 months,11.83,MORTGAGE,12960.0,Not Verified,0
10500.0,36 months,12.53,RENT,51504.0,Not Verified,0
2000.0,36 months,13.61,RENT,26496.0,Not Verified,0
8000.0,36 months,11.14,MORTGAGE,55000.0,Not Verified,0
14400.0,36 months,8.9,RENT,59000.0,Not Verified,0
6000.0,36 months,15.99,RENT,45000.0,Not Verified,0
4200.0,36 months,13.06,MORTGAGE,78000.0,Not Verified,0
3600.0,36 months,14.17,RENT,30000.0,Verified,0
5000.0,36 months,6.0,RENT,34868.4,Source Verified,0
7000.0,36 months,16.35,RENT,36000.0,Not Verified,0
2800.0,36 months,7.49,RENT,48000.0,Not Verified,0
6500.0,36 months,15.65,RENT,42500.0,Not Verified,1
9575.0,36 months,9.63,OWN,56996.0,Source Verified,0
17325.0,36 months,11.99,MORTGAGE,114000.0,Source Verified,0
16000.0,60 months,16.49,MORTGAGE,65000.0,Verified,0
12000.0,36 months,7.29,RENT,68400.0,Source Verified,0
10000.0,36 months,6.92,RENT,43337.0,Not Verified,0
18000.0,36 months,6.62,MORTGAGE,78000.0,Not Verified,0
12500.0,36 months,18.62,RENT,43560.0,Source Verified,0
5500.0,36 months,14.62,RENT,24000.0,Not Verified,0
6000.0,60 months,11.49,RENT,24000.0,Not Verified,0
25000.0,36 months,15.57,MORTGAGE,200000.0,Verified,0
12000.0,36 months,9.88,MORTGAGE,80000.0,Not Verified,0
14275.0,60 months,20.3,MORTGAGE,54000.0,Verified,0
10000.0,36 months,14.11,RENT,45000.0,Not Verified,0
20050.0,36 months,10.59,MORTGAGE,76000.0,Verified,0
25000.0,60 months,12.61,RENT,65000.0,Verified,0
7000.0,36 months,11.49,RENT,72000.0,Not Verified,0
5000.0,36 months,5.42,MORTGAGE,100000.0,Not Verified,0
12325.0,36 months,18.36,MORTGAGE,54000.0,Not Verified,0
8000.0,36 months,13.61,MORTGAGE,58000.0,Source Verified,0
8500.0,36 months,10.62,RENT,45000.0,Not Verified,0
10000.0,60 months,10.75,MORTGAGE,75000.0,Not Verified,0
12000.0,36 months,12.73,OWN,31000.0,Not Verified,0
19250.0,60 months,14.79,MORTGAGE,65004.0,Verified,0
11000.0,60 months,10.37,MORTGAGE,48000.0,Verified,0
6000.0,36 months,14.54,RENT,41196.0,Verified,0
16000.0,36 months,10.99,OWN,52000.0,Verified,0
8000.0,36 months,7.66,RENT,19200.0,Source Verified,0
30000.0,60 months,11.71,MORTGAGE,82000.0,Source Verified,1
3500.0,36 months,5.42,RENT,60000.0,Not Verified,0
6400.0,36 months,7.14,MORTGAGE,67807.0,Not Verified,0
13800.0,36 months,7.66,RENT,105000.0,Source Verified,0
15000.0,36 months,17.99,MORTGAGE,63830.0,Verified,0
1275.0,36 months,15.23,OWN,20400.0,Verified,0
6500.0,36 months,14.72,RENT,40000.0,Source Verified,0
11200.0,60 months,22.06,RENT,75000.0,Verified,0
25000.0,60 months,12.99,MORTGAGE,60106.0,Verified,0
13000.0,36 months,12.53,MORTGAGE,264000.0,Verified,0
20000.0,36 months,13.79,MORTGAGE,120000.0,Verified,0
10000.0,36 months,5.42,RENT,28000.0,Not Verified,0
